name,address,categories,latitude,longitude,yelp_id
Sushi House,"2501 SE 14th St, Bentonville, AR 72712","['Sushi Bars', 'Japanese', 'Asian Fusion']",36.35685,-94.183,0QaiZPzKMFmt5Riqu5_QjA
Ramen Nara,"301 S Dodson Rd, Ste A, Rogers, AR 72758","['Ramen', 'Beer Bar']",36.3330479,-94.1970461,-rIXQJBlwHeEKdAfxx3sDg
JJ's Grill,"4500 W Walnut St, Ste 3, Rogers, AR 72756",['American'],36.33401,-94.18043,O3hpJkEK5nEt2825wFs3uw
Yw Poke,"3511 SE J St, Ste 7, Bentonville, AR 72712",['Hawaiian'],36.33588,-94.19695,fWnnqHUc6GeNbSfdKJRbHg
Flavors Indian Cuisine,"211 SE Walton Blvd, Ste 100, Bentonville, AR 72712",['Indian'],36.336343,-94.208147,zY1h27RlUtPqcpM2sJwUag
The Buttered Biscuit - Moberly,"1403 SE Moberly Ln, Bentonville, AR 72712",['Breakfast & Brunch'],36.35563,-94.18304,grrc4JI42aE5ovq_GjHyNw
Beach Bbq,"1080 SE 14th St, Bentonville, AR 72713","['Bars', 'Barbeque', 'Sandwiches']",36.35626,-94.19809,Hq6QVQx1GIC7cd0wWNBGhg
Vira's Indian Kitchen,"3404 SE Macy Rd, Ste 16, Bentonville, AR 72712",['Indian'],36.33718,-94.21029,Z3rYmdnzL6DJx3-L5U1tvg
Pho Kitchen,"4505 W Walnut St, Ste 4, Rogers, AR 72756","['Vietnamese', 'Tea Rooms', 'Cocktail Bars']",36.33562413306431,-94.18019135910448,gfkYs8j_Y5eJxy0v-zCOQQ
Tokyo House Sushi and Seafood Buffet,"401 North 46th St, Rogers, AR 72756","['Sushi Bars', 'Seafood', 'Buffets']",36.337623414881975,-94.17901517418863,HmuEbYTjNLFTjNzgplqDPQ
Azul Tequila,"1000 S E Walton Blvd, Ste 22, Bentonville, AR 72712","['Mexican', 'Seafood', 'Soup']",36.334813761275434,-94.1989921316124,08h4Q63ZVpVRyozqHdcsEw
Gusano's Pizzeria,"2905 S Walton Blvd, Bentonville, AR 72712","['Pizza', 'Sandwiches', 'Wraps']",36.3416207193176,-94.2096614125879,LNpdEw4oXki3Z7jH5HC7gA
Thai Basil,"3301 Walton Blvd, Ste 25, Bentonville, AR 72712",['Thai'],36.3385778816597,-94.2099618237201,_mThCvQFuu7hEwg1dSz_qA
