restaurant_name,restaurant_address,restaurant_latitude,restaurant_longitude,station_name,station_latitude,station_longitude,distance_km,distance
MELD Kitchen + Sandwich Bar,1120 S Walton Blvd,36.35897,-94.21563,Walmart Global People Center,36.36455,-94.21428,0.005740984236176519,
Tavola Trattoria,108 SE A St,36.3717094721,-94.208267792595,Walmart Global People Center,36.36455,-94.21428,0.009349046937067739,
Table on 6th,409 SE 6th St,36.36627720858491,-94.20465200010396,Walmart Facilities,36.3695,-94.19578,0.009439214498564361,
Pedaler's Pub,500 S Main St,36.36664413151773,-94.2097411526476,Walmart Global People Center,36.36455,-94.21428,0.004998652028497404,
Bentonville Taco & Tamale,101 W Central Ave,36.37226785687345,-94.20901453491886,Walmart Global People Center,36.36455,-94.21428,0.009342935151209783,
The Preacher's Son,201 NW A St,36.37318,-94.2104899,Walmart Global People Center,36.36455,-94.21428,0.009425590592104372,
Tusk & Trotter American Brasserie,110 SE A St,36.37158,-94.20831,Walmart Global People Center,36.36455,-94.21428,0.009222895423892818,
Table Mesa,110 E Central Ave,36.372246628522,-94.208452655592,Walmart Global People Center,36.36455,-94.21428,0.009653809271740102,
The Hive,200 NE A Street,36.374038588007934,-94.20769090268897,Walmart Global People Center,36.36455,-94.21428,0.011552034702102925,
Crepes Paulette,100 SW 8th St,36.36458442016396,-94.20946924896182,Walmart Global People Center,36.36455,-94.21428,0.004810874172021165,
Wright’s Barbecue,208 NE 3rd St,36.37493,-94.207144,Walmart Con Ops,36.37083,-94.19605,0.011827376547654499,
Azul Tequila,111 N Main St,36.37276,-94.20909,Walmart Global People Center,36.36455,-94.21428,0.00971288834487252,
Callisto,407 SW A St,36.367326,-94.209962,Walmart Global People Center,36.36455,-94.21428,0.00513335173156543,
Aoi Sushi,211 NE A St,36.3741904307957,-94.2082431882931,Walmart Global People Center,36.36455,-94.21428,0.011374576981641788,
Oven & Tap,215 S Main St,36.3709258932401,-94.2084700986743,Walmart Global People Center,36.36455,-94.21428,0.008625947369625287,
Scotch & Soda,121 W Central Ave,36.3722406290856,-94.20987198574028,Walmart Global People Center,36.36455,-94.21428,0.008864331077200895,
Junto,229 S Main St,36.3699803,-94.20857756380634,Walmart Global People Center,36.36455,-94.21428,0.007874384841544773,
The Witching Hour,704 SW A St,36.364827378962616,-94.21041823743438,Walmart Global People Center,36.36455,-94.21428,0.0038717114048087216,
Conifer,321 SE 2nd St,36.3716166,-94.2048512,Walmart Con Ops,36.37083,-94.19605,0.008836280948447352,
Pho Thanh,1204 S Walton Blvd,36.35862,-94.21524,Walmart Global People Center,36.36455,-94.21428,0.006007204008519835,
The First Seat,106 SW 2nd St,36.3718597506364,-94.2095073782012,Walmart Global People Center,36.36455,-94.21428,0.00872985527948949,
Ozark Mountain Bagel,105 W Central Ave,36.37226512006386,-94.20918593530602,Walmart Global People Center,36.36455,-94.21428,0.00924513778729973,
